"id","treatment_name","treatment_type ","treatment_dosage"
"405","eos","nemo","Minima voluptatibus nam commodi. Neque eos corrupti repudiandae vero enim veritatis error. Tempore consectetur dignissimos porro praesentium nisi repudiandae distinctio consequuntur. Aliquam consequatur architecto eum nobis doloremque. Aut impedit quisquam quos nisi minima culpa facilis dicta. Recusandae mollitia perspiciatis fugit consectetur quidem placeat repellat."
"406","omnis","ea","Reiciendis cupiditate hic ullam quod sapiente est quisquam officia dolorum. Asperiores totam nostrum hic neque. Distinctio culpa animi eveniet nemo suscipit nihil minus quas."
"407","maxime","ducimus","Architecto saepe a nisi quae quam voluptatem dolorem provident eius. Assumenda nemo quos accusantium perferendis totam illo occaecati. Magnam ipsa sapiente voluptates recusandae architecto laborum beatae quas. Placeat earum eveniet aperiam culpa consequatur enim suscipit qui. Deleniti explicabo adipisci facere porro ex deserunt."
"408","voluptatibus","magnam","Ex unde at. Placeat quod minima magnam fugiat illum."
"409","incidunt","quis","Necessitatibus dicta soluta accusamus ipsum tempora eum accusamus neque. Ullam architecto exercitationem minima. Ipsum dolore perferendis earum. Esse earum quod veniam eligendi similique commodi. Debitis voluptatem quam aliquid delectus ipsa. Corporis atque animi."
"410","non","debitis","Perspiciatis consequatur rerum aliquam assumenda consequatur sequi ab blanditiis. Facere rerum doloribus."
"411","ad","ea","Illum pariatur iusto quas quasi dignissimos deserunt. Id maxime odio iste consequatur repellat velit quibusdam sequi. Voluptate possimus sint nihil. Officiis illo distinctio placeat iure blanditiis non enim. Commodi culpa laudantium fugiat aliquam veritatis quaerat. Praesentium mollitia reprehenderit eaque id reiciendis atque consequatur."
"412","nam","iure","A repellendus iure architecto corrupti. Modi velit suscipit sequi rem maiores. Praesentium hic optio enim similique. Ea similique nobis provident. Deserunt assumenda excepturi."
"413","neque","officia","Et repellendus accusantium repellat at quo. Est ipsa nihil voluptatibus unde libero reprehenderit doloribus. Ea unde velit quae quo sunt eum. Accusantium nemo vero excepturi neque voluptatem eius iste quas commodi."
"414","dolorem","ratione","Alias adipisci deleniti sunt aspernatur alias unde incidunt. Nostrum eaque nemo quod fuga ex rem libero. Itaque consequatur maxime porro quae alias. Veritatis beatae aliquid quod. Sunt porro itaque ea. Aspernatur nisi nostrum sunt blanditiis."
"415","nemo","minima","Animi aperiam veritatis. Quidem itaque aliquam corporis doloremque inventore a. Incidunt aperiam fuga nulla ipsum eos."
"416","maxime","quam","Ullam omnis mollitia ducimus maiores recusandae quia enim velit. Vel perspiciatis iusto dicta. Sint itaque doloremque nesciunt est odit ipsa explicabo."
"417","animi","quod","Repellat placeat quibusdam quod adipisci voluptates rem minima. Ducimus est laudantium minus minus eum totam doloremque minus debitis. Nihil a nemo reiciendis perspiciatis quibusdam. Occaecati voluptate dolores magnam dolorum asperiores vero nam facere."
"418","omnis","laboriosam","Porro rerum distinctio quod aut delectus cum est. Facilis quas ipsum saepe suscipit ratione incidunt neque. Vero pariatur veniam amet asperiores."
"419","provident","corporis","Animi doloremque pariatur magnam esse eaque culpa possimus. A consequuntur provident fuga illo alias blanditiis ut. Minima facilis repellendus reiciendis delectus. Enim aliquam unde expedita."
"420","commodi","quam","Excepturi cum autem. Architecto unde ratione adipisci accusantium ab. Perferendis laudantium quae totam magnam quidem eos molestias inventore. Repellat esse in voluptatum minus totam eaque doloribus assumenda. Accusantium deserunt quis architecto laudantium vel voluptatem tenetur quia. Reprehenderit culpa eius quod velit ducimus perferendis voluptatibus."
"421","a","rerum","Adipisci placeat aliquam suscipit sunt rerum. Tenetur laboriosam animi tenetur maxime. Veniam iure in eos numquam vel molestiae. Repellat aspernatur voluptatem et sint numquam in maiores. Odio et tenetur sequi sunt in accusantium aut numquam. Animi earum voluptates commodi."
"422","illum","aperiam","Odit explicabo minus aliquam omnis esse ex in. Natus sed modi iusto dolore laboriosam. Assumenda nulla optio. Magni temporibus consequatur unde numquam ipsa quod soluta totam. Similique atque repellat ratione pariatur iusto adipisci. Iure facere pariatur totam nulla a dolores."
"423","placeat","doloribus","Consectetur fugit hic incidunt magni. Quisquam debitis maxime tenetur ad laboriosam odit hic eius. Numquam aliquid dolor repellat laudantium cumque veritatis possimus."
"424","commodi","assumenda","Cupiditate animi accusamus reiciendis consectetur sapiente soluta repellat. Nulla inventore voluptatem modi. Tenetur maxime exercitationem quaerat aspernatur corrupti. Beatae exercitationem consequuntur commodi error voluptates voluptatibus minus saepe laudantium. Provident enim rerum asperiores impedit. Quis fuga amet repellendus vero."
"425","tempora","dolorum","Minus aliquam iusto maiores et eaque eos esse. Blanditiis cupiditate corrupti illum cum voluptatem. Quas laborum ipsa autem. Eaque maiores doloribus."
"426","temporibus","quam","Tempora illo corrupti molestias id quasi officiis error. Quia reiciendis consectetur magnam velit molestiae perferendis odit tenetur expedita. Numquam deserunt cumque corrupti."
"427","vel","cupiditate","Cupiditate quidem architecto ullam odio ab. Ullam totam temporibus. Cumque impedit corporis unde sequi ratione sint sapiente tempore esse. Esse consequatur cum iste omnis eaque officia nesciunt. Consequuntur quia inventore officiis. In accusantium a."
"428","quaerat","voluptates","Sunt nemo ipsum dignissimos laborum sapiente voluptatem facere. Quae pariatur illo omnis commodi corporis beatae est. A voluptatibus esse iste perspiciatis quis praesentium. Quis sunt deserunt doloremque quasi praesentium. In voluptate accusamus nemo."
"429","perferendis","veniam","Sunt vitae ducimus similique assumenda accusamus officiis qui consequatur. Officiis cupiditate commodi doloribus ad. Perferendis inventore esse iusto distinctio ut harum adipisci."
"430","quo","itaque","Voluptatem voluptas sequi impedit nesciunt eligendi magnam explicabo aperiam earum. Necessitatibus dolorum unde. Quod alias sapiente aspernatur debitis mollitia. Non similique optio nam. Corrupti ipsa dolorum voluptates delectus illo expedita eos iure. Praesentium nam perspiciatis a id repellat vitae molestias asperiores minus."
"431","optio","rerum","Quasi est molestiae inventore maiores ut ipsam quod nulla cupiditate. Atque placeat quas maxime hic corrupti doloribus ipsum deleniti odio. Quos aliquam laudantium laboriosam temporibus aliquid. Quos unde laborum. Qui distinctio temporibus dignissimos minima saepe a quasi dolorem molestiae."
"432","impedit","doloribus","Dolore sequi nemo. Ducimus velit officia veritatis."
"433","esse","blanditiis","Laboriosam adipisci minima. Sit accusamus deserunt natus ipsa illum quia aliquam labore aspernatur."
"434","dolor","doloremque","Dolore illo quae molestiae autem voluptates animi consequatur. Odit laudantium aperiam. Voluptates nemo soluta beatae."
"435","unde","placeat","Unde esse maiores. Soluta adipisci quia est architecto excepturi nemo totam facilis quia. Id vitae dolorum quasi. Perspiciatis odio sit quis. Dolorem fugiat harum corporis esse itaque rem. Vitae quos eum harum."
"436","provident","illo","Culpa sint a veniam. Aliquam tempore neque provident illum magnam. Non voluptatem earum eveniet doloremque reprehenderit dolorum nostrum possimus. Iure voluptas esse atque corporis animi quo sunt at voluptates. Commodi autem vel cum omnis. Ex explicabo est repudiandae non dolores itaque inventore."
"437","molestiae","dicta","Dignissimos occaecati quasi voluptas tempore ipsum. Praesentium ratione voluptate facere repudiandae harum aspernatur. Qui explicabo aliquid sunt reprehenderit aliquam ratione. Nemo quod in ipsam asperiores velit. Odit perferendis dolores sed doloremque. Neque facilis eius ullam."
"438","impedit","quibusdam","Earum numquam laudantium. Ad maxime commodi recusandae ad ab doloribus ratione. Commodi quaerat dolore natus molestias labore cumque."
"439","at","aliquid","Quas modi nesciunt nulla esse. Voluptates maxime quod impedit. Id quis accusantium provident."
"440","non","consequatur","Quasi a dolore deleniti deleniti quas. Adipisci nihil officia pariatur explicabo facilis vel accusamus dignissimos. Eum aliquid officiis et quo atque cupiditate eveniet quia. Laboriosam modi expedita expedita perferendis. Tempore iure nulla eligendi voluptate vero odio quia. Magni id aliquam culpa nam molestiae voluptate enim."
"441","maiores","occaecati","Adipisci a esse. Beatae consectetur quia error. Excepturi quis debitis. Dolorem voluptatum adipisci."
"442","aliquid","natus","Exercitationem ipsam inventore ex. Dolor laborum accusantium optio est. Delectus nobis cumque odit. Sed sit fugiat. Architecto veniam ipsa repellat architecto consequuntur rem illo pariatur odit. Dolorum ipsam non."
"443","quibusdam","nostrum","Aperiam atque aperiam. Debitis enim maxime nisi."
"444","repellendus","magni","Adipisci vitae minus magni suscipit nulla laborum beatae laborum natus. Deleniti modi provident sit pariatur placeat consectetur veniam accusamus."
"445","ullam","modi","Aliquid saepe cupiditate laboriosam culpa neque unde itaque. Quae atque repudiandae numquam libero harum enim odio placeat. Facilis enim esse. Corporis ab dolores sit adipisci fuga. Rerum esse molestiae tenetur. Quae hic natus incidunt rem quod harum facilis sed officiis."
"446","suscipit","quidem","Facere incidunt provident similique iste. Occaecati doloribus dolore corrupti quaerat quisquam repellendus sapiente fugit. Delectus quod nulla vero magni. Cupiditate sint aut. Itaque maiores iste quisquam repellat."
"447","asperiores","saepe","Nulla esse sunt commodi suscipit animi incidunt. Dolores fugit iste sit. Vero perspiciatis odio doloremque mollitia fuga mollitia quis provident dignissimos. Ipsam odit ab explicabo eligendi quibusdam qui consectetur eius pariatur."
"448","aliquam","perspiciatis","Consequuntur veritatis tempora nam nesciunt perferendis tempora illum praesentium. Officia est rerum libero debitis mollitia omnis. Odio ipsum nihil maxime repellendus. Ea repellat eum ducimus architecto dignissimos."
"449","corporis","ab","Voluptas voluptates possimus. Deleniti quas magni."
"450","eum","quos","Perspiciatis blanditiis deserunt minus iste. Ipsum rem nesciunt facere pariatur quia amet. Eius nemo a nihil libero facere. Molestiae culpa nobis soluta assumenda vitae explicabo."
"451","exercitationem","ullam","Natus laboriosam incidunt non magni explicabo quis possimus. Consectetur facilis architecto repellendus nobis quo veritatis quaerat exercitationem doloribus. Optio quae nostrum provident tenetur rem expedita beatae nulla tenetur."
"452","quidem","quia","Quasi totam in dolorum nulla aperiam officiis temporibus qui. Porro vero assumenda explicabo consectetur harum molestias. Consequuntur aut nostrum. Corporis aliquid vel tempore rerum. Culpa voluptatum illo sint voluptates fugit. Maiores dicta magni molestiae architecto commodi consequatur accusantium quod molestiae."
"453","temporibus","vel","Alias totam assumenda pariatur impedit tenetur pariatur rem. Nostrum neque minus. Ab repudiandae laborum officia tempore sit animi. Rem nobis impedit voluptatem ratione accusamus vel possimus corrupti necessitatibus."
"454","fuga","tempora","Est inventore quidem harum excepturi non distinctio mollitia harum. Libero laboriosam voluptatum tempore maiores corrupti molestiae at nemo. Illum eos similique a vero cumque ut alias sunt. Eligendi voluptatibus dolorem nulla eius."
"455","ea","quam","Molestiae cum laborum distinctio doloribus. Aperiam soluta dolorem. Ipsum esse aspernatur quaerat soluta aperiam. Dolor ullam exercitationem excepturi nulla est molestias assumenda fugiat neque."
"456","non","totam","Minima voluptatem sint officia dicta mollitia nobis dignissimos dignissimos. Accusantium molestiae totam porro voluptatem consequuntur doloremque. Optio eius aut harum. Facere commodi praesentium a. Neque distinctio repellat eveniet."
"457","recusandae","voluptates","Praesentium veniam sunt facilis totam porro quis necessitatibus maxime nulla. Neque provident voluptatem quaerat vel ab consectetur. Dicta possimus consectetur error deserunt velit eius eum. Quisquam sunt similique eos culpa."
"458","porro","quis","Repudiandae nostrum inventore ab nulla nam vero. Hic ad enim ipsa reprehenderit facere a doloremque. Sint cupiditate magnam dolorum laudantium molestias repudiandae facilis animi sed. Illum odio perferendis adipisci aliquam iste voluptas alias. Nostrum nesciunt dolorem assumenda vitae."
"459","tempore","eligendi","Numquam odit aut quibusdam unde. Ipsum eos blanditiis tenetur voluptates enim odit quod eveniet itaque. Odit nobis excepturi mollitia hic delectus doloremque nulla. Sequi similique earum sapiente voluptas repudiandae iste consequuntur. Omnis modi qui eveniet odio voluptas quia ullam. Hic id vero dignissimos sit."
"460","atque","quo","Quidem rerum cupiditate. Alias aliquam asperiores officiis quibusdam dolores saepe. Alias ad asperiores expedita nihil delectus ab earum. Molestiae magnam dicta aperiam."
"461","totam","corporis","Maxime molestiae voluptatum quod veritatis at expedita fugit. Distinctio voluptas esse laborum quod aliquam. Debitis ipsa earum perferendis esse. Excepturi ratione ducimus. Modi pariatur dolore repellendus asperiores necessitatibus. Temporibus enim eaque illo mollitia culpa vitae omnis natus."
"462","numquam","eos","Asperiores repellat unde laborum repudiandae dolores incidunt amet eos omnis. Quod quasi sapiente tempore. Explicabo a recusandae id rem doloremque ab ducimus. Ab molestiae eum."
"463","vero","ad","Culpa vel doloribus est quos. Autem magni et asperiores asperiores. Dicta reiciendis laboriosam. Atque minus ea porro eaque illo reprehenderit odit quos blanditiis. Nostrum fuga iure at sunt."
"464","ea","explicabo","Explicabo asperiores incidunt fugiat. Esse quisquam est reiciendis provident magnam fuga molestiae laborum."
"465","omnis","similique","Ipsam soluta sit nostrum minus libero aspernatur perferendis. Natus quisquam explicabo ut iure commodi quod."
"466","voluptatem","nam","Fugiat harum repudiandae. Suscipit laboriosam deleniti adipisci dolore alias rem. Quis ad dicta eligendi exercitationem. Id fugiat et eaque. Debitis corporis dolor occaecati quas perspiciatis corrupti esse."
"467","amet","ex","Sunt suscipit laborum ipsa adipisci sunt maiores. Molestias voluptas quisquam perferendis quod dignissimos. Dolorum perferendis quam."
"468","nobis","sint","Inventore alias est officiis. Nemo placeat iusto inventore. Atque necessitatibus quidem praesentium fugiat mollitia."
"469","maxime","natus","Accusantium doloribus nobis dolore cumque perspiciatis adipisci asperiores. Aperiam nemo voluptatibus blanditiis amet. Sunt perferendis tempora itaque nostrum ab itaque. Natus soluta voluptatum recusandae aspernatur totam debitis."
"470","rerum","dolores","Et repudiandae suscipit a perspiciatis veniam. Illo odit et asperiores libero exercitationem corrupti. Mollitia repellat enim cupiditate voluptatem quo dignissimos fugit cumque. Placeat debitis voluptates maxime modi nisi occaecati unde. Quam repellat dolorem neque. Quod accusamus dolores eum a."
"471","tempora","perspiciatis","Consequatur delectus occaecati tempore. Mollitia reprehenderit quam quibusdam molestiae."
"472","hic","provident","Debitis doloribus omnis. Sed quaerat reiciendis ipsa hic amet. Ad repudiandae odit expedita officiis. Aliquam pariatur corrupti sit animi laborum nostrum. Quia ratione similique corrupti quo vero labore porro laborum."
"473","rem","aliquam","Distinctio voluptates ab quod consequatur vel tempora voluptatem aspernatur nisi. Doloremque expedita odio ad dolorum ab saepe. Dolores ea ipsa cupiditate debitis. Ullam rem deleniti officia neque esse est sint omnis. Ducimus impedit id aperiam fugit fugiat dolore. Ullam culpa corporis laudantium."
"474","quae","nesciunt","Sunt dolorum porro ullam eum molestias laudantium quisquam et. Ducimus accusantium quasi quod recusandae nisi harum non aspernatur. Expedita asperiores quo ullam aut voluptate tenetur illum nulla."
"475","dicta","sunt","Inventore reprehenderit dolorem ipsa quam ipsam placeat veniam deserunt. Temporibus possimus culpa tempora aspernatur repudiandae quod blanditiis possimus fugiat. Soluta iure maxime. Neque distinctio molestiae inventore magnam molestiae laudantium eum culpa. Dicta sed fuga labore occaecati at animi voluptates."
"476","quae","molestiae","Neque repellat quae quas culpa. Magni impedit natus. Hic natus ex illum repellat quam. Labore ipsa perferendis officiis in amet ex laudantium qui tempora."
"477","commodi","ipsam","Natus amet nisi itaque quos tempore. Sapiente sequi velit commodi non ad. Quaerat soluta laboriosam vero consequuntur repellendus numquam consequuntur. Consequuntur harum omnis enim optio unde minus. Corrupti sunt voluptate non quam laboriosam."
"478","eligendi","magnam","Modi blanditiis et officia reiciendis velit eum. Non vitae minima soluta alias facere. Rem sit ducimus non quisquam. Modi inventore asperiores repellat sit illo unde veniam voluptatibus amet."
"479","praesentium","eum","Illo praesentium molestiae natus consequatur error provident fugit esse eos. Mollitia placeat illum hic sit accusamus qui occaecati accusamus delectus. Neque quidem recusandae deleniti ut. Id ipsa optio illo. Explicabo nulla iure eos est tempore soluta."
"480","nisi","quo","Veritatis optio dignissimos incidunt iusto. Fuga tempora ipsam delectus. Velit veniam aspernatur ex sed ducimus incidunt. Numquam quibusdam ex tempora. Architecto voluptatem blanditiis aliquam."
"481","molestiae","esse","Quibusdam eveniet praesentium incidunt. Culpa repellendus eos explicabo velit."
"482","consequuntur","nostrum","Asperiores vero labore. Praesentium ea sunt quos aut fuga nihil ipsum. Recusandae distinctio totam eum laudantium. Facere ullam eveniet iusto voluptas temporibus quam."
"483","voluptatum","provident","Voluptatibus reiciendis quasi id enim numquam. Optio autem nihil vitae amet fuga tempore veritatis autem. Eveniet iure dignissimos sit quaerat velit consequatur. Nobis iure minima praesentium fugiat dolor totam."
"484","laudantium","vitae","Quibusdam atque fugit delectus. Rerum totam laudantium perspiciatis ullam. Iusto laborum deserunt omnis consequuntur modi nobis dignissimos voluptates. Illum ullam itaque consequatur molestiae voluptatum qui. Nihil ab pariatur nostrum illum nam officiis quis dicta nemo. Vel eius ea suscipit occaecati."
"485","ratione","nihil","Id debitis eum eaque omnis explicabo distinctio. Quas adipisci ab soluta error aspernatur voluptatem asperiores iste. Ad quis veniam commodi omnis nisi. Inventore pariatur dolore enim reiciendis ratione voluptatum. Similique dolore placeat corrupti dolorum sit voluptatem libero sint. Vel facilis officiis dolorum."
"486","ipsam","dolores","Assumenda perferendis voluptas ullam molestiae possimus. Veritatis at pariatur porro molestiae. A nihil facilis ducimus placeat iure. Quod sequi vero incidunt cum error voluptatibus inventore explicabo voluptate. Quod libero aspernatur."
"487","ad","expedita","Tempora quod asperiores aliquid. Occaecati dolor odit fugiat. Praesentium porro ducimus labore dolor autem. Atque culpa magni incidunt quasi alias accusantium excepturi."
"488","commodi","quidem","Et nobis ducimus quod rem. Ut ad culpa explicabo tempore eum autem aut. Dolores necessitatibus fuga voluptatibus quo ipsa."
"489","amet","porro","Error quidem provident eligendi earum. Voluptatibus temporibus nam rerum consequuntur nam quidem cumque. Odio amet nam vero eum maiores. Amet consequuntur totam blanditiis voluptas ipsum. Non dolorem tenetur quod commodi temporibus labore officiis. Accusantium fugit adipisci cupiditate alias rem vero unde tempora explicabo."
"490","asperiores","aliquam","Vel dolores nesciunt ipsum. Sint aliquid tempora velit. Amet odio velit cupiditate ad quo quibusdam eum. Veritatis enim et saepe facilis iste asperiores animi. Fugit cum eum fuga pariatur debitis perspiciatis nulla. Itaque eius eos similique odit."
"491","nemo","neque","Sit tenetur culpa expedita. Animi eaque rerum alias voluptas vitae. Corporis soluta asperiores iure sapiente ab labore harum. Neque molestiae beatae earum perspiciatis pariatur delectus quos incidunt illo. Doloremque labore harum unde iusto amet."
"492","praesentium","nesciunt","Dolor perspiciatis a quaerat. Praesentium necessitatibus rem laudantium quisquam qui quam laborum."
"493","soluta","eveniet","Fugiat quos dicta cum aut voluptate aperiam ipsam ab. Perferendis optio sunt ratione quibusdam magni. Animi excepturi voluptatum odio tempore nostrum nam. Facere quos tempora sed."
"494","odio","deserunt","Alias cum sit facilis ipsa commodi consequuntur id. Cupiditate dolorem ex."
"495","repellat","expedita","Quibusdam officia libero placeat aperiam officia enim fugit. Quod enim libero cum deleniti repudiandae asperiores ullam quis doloremque. Facere at repudiandae nam aut blanditiis labore eius repudiandae."
"496","ad","rerum","Officiis praesentium possimus odit labore asperiores esse sed. Atque ab beatae debitis laudantium quaerat sint quasi placeat. Fugiat deleniti voluptatibus quis praesentium iure enim tempora repellendus corporis."
"497","repellendus","quod","Voluptatum ab voluptatum voluptatum repellendus sequi iure atque culpa. Sint consectetur voluptatibus quia quod quo cupiditate minima. Incidunt magnam labore ipsa."
"498","necessitatibus","quis","Eaque aliquid quisquam voluptatum explicabo nobis consequatur. Sapiente quae tempore optio quam. Veritatis nihil minima natus quae. Velit ab ad doloribus."
"499","sit","amet","Dolorem repellendus numquam optio eum doloribus velit. Est alias necessitatibus eum rerum reprehenderit voluptas eum accusamus. Saepe illum quasi velit. Magni similique laudantium pariatur maiores optio soluta omnis quis. Officia magni dolorum nulla."
"500","similique","ducimus","Enim est iusto fuga saepe reprehenderit amet corrupti esse at. Laudantium doloremque ea."
